"Artist","Track","streams","Lookup","id","artist_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","explicit","song_popularity","album_name","album_id","cluster"
"Alesso","Cool",15,"Alesso%20Cool%20%20","2ToIksTPpJ4csKPEOdUEyM","4AVFqumd2ogHFlRbKIjp1t",0.537,0.848,"6",-2.431,"0",0.0313,0.0365,0,0.423,0.498,128.023,221400,"4",FALSE,58,"Forever","0tRVSbmOwilUucqjzU0fQw","5: Live Songs"
"Alesso","Heroes (We Could Be)",31,"Alesso%20Heroes%20(We%20Could%20Be)%20%20","3zU9rdflI65tK4dkkNSp77","4AVFqumd2ogHFlRbKIjp1t",0.503,0.748,"5",-4.124,"1",0.0619,0.0305,0,0.343,0.356,125.896,210013,"4",FALSE,74,"Forever","0tRVSbmOwilUucqjzU0fQw","5: Live Songs"
"Alesso","Scars",14,"Alesso%20Scars%20%20","6wZYxok5OMWAZh8r91vFEL","4AVFqumd2ogHFlRbKIjp1t",0.526,0.81,"4",-2.299,"1",0.0337,0.0597,0.0000211,0.303,0.519,126.003,198240,"4",FALSE,50,"Forever","0tRVSbmOwilUucqjzU0fQw","5: Live Songs"
"Alesso","When I'm Gone (with Katy Perry)",58,"Alesso%20When%20Im%20Gone%20(with%20Katy%20Perry)%20%20","53y02rkTgMKgaJihn2Y2jE","4AVFqumd2ogHFlRbKIjp1t",0.622,0.954,"9",-2.829,"0",0.0524,0.0165,0.000136,0.311,0.457,125.081,171840,"4",FALSE,57,"When I'm Gone (with Katy Perry) [VIP Mix]","7Bm6JstkS27sFuX9UPbXfQ","5: Live Songs"
"Alex Clare","Too Close",18,"Alex%20Clare%20Too%20Close%20%20","4sK96UnGx3NjBaqvfTG2dm","5Tf4EH8tDvznnjULcFxkIl",0.584,0.712,"11",-4.311,"0",0.0395,0.0112,0.00000105,0.114,0.286,126.043,256560,"4",FALSE,60,"The Lateness Of The Hour","074KCx8WkMnCKCpfaRiRlt","8: Anthem Songs"
"Alex Newell","Nobody to Love",10,"Alex%20Newell%20Nobody%20to%20Love%20%20","0xIiNbbNegF72oYNtkJ9sS","2vGaSKEDFsVPBgcnGxqlBN",0.567,0.859,"6",-2.839,"1",0.269,0.0577,0.0000257,0.175,0.537,113.847,205133,"4",FALSE,43,"POWER","2zN5EUVUBfNFiEwb48vGfW","3: ""Speak"" Pop"
"Alexandra Stan","Mr. Saxobeat",20,"Alexandra%20Stan%20Mr.%20Saxobeat%20%20","2ZAx6NDhX2yE5aL5ueEQgY","0BmLNz4nSLfoWYW1cYsElL",0.72,0.925,"4",-4.165,"0",0.0511,0.0276,0.000238,0.14,0.781,127.004,195105,"4",FALSE,66,"Saxobeats","25hD73WRfQAPuFMRibSjby","7: Dance Songs"
"Alice Chater","Hourglass",64,"Alice%20Chater%20Hourglass%20%20","0VsJsr8dCM8SRBpo3hTPbI","6MwwUAN4kN0umzSH7w6y93",0.738,0.712,"11",-6.945,"0",0.0328,0.0115,0.00956,0.0556,0.932,120.007,208299,"4",FALSE,41,"Hourglass","5nzWM7U62pYfPQ8YD0aea0","7: Dance Songs"
"Alice Chater","Tonight",33,"Alice%20Chater%20Tonight%20%20","4ev0yUnmjaVx1EkbU0mVWB","6MwwUAN4kN0umzSH7w6y93",0.661,0.862,"7",-3.637,"1",0.0427,0.0163,0.000443,0.413,0.437,100.03,188200,"4",FALSE,35,"Tonight","5TUEOKAt88iebsWIOmarj5","5: Live Songs"
"Allie X","Girl of the Year",77,"Allie%20X%20Girl%20of%20the%20Year%20%20","5PNmELKcHR40HDv0HexhZu","0wnYgCeP013HkKoOyC5V32",0.564,0.934,"7",-2.78,"1",0.0584,0.00883,0.00000201,0.0765,0.42,109.039,224083,"4",FALSE,47,"Super Sunset","46tqZIHK7vudgW0NCYW4y9","8: Anthem Songs"
"Allie X","Glam!",69,"Allie%20X%20Glam!%20%20","175q70RUMG0f4o04PKCmxu","0wnYgCeP013HkKoOyC5V32",0.64,0.846,"2",-3.964,"1",0.0343,0.0011,0.0925,0.0287,0.899,127.984,221917,"4",FALSE,37,"GLAM!","7fdHiGnkWh62o0O5Zl0cYR","7: Dance Songs"
"Allie X","Prime",61,"Allie%20X%20Prime%20%20","6P3AQlTdrqngofbGGEM372","0wnYgCeP013HkKoOyC5V32",0.687,0.872,"7",-2.388,"1",0.0692,0.055,0.00000592,0.17,0.72,105.975,253698,"4",FALSE,34,"Collxtion I","6i2wkAsjqQ9CUc7g9dSGbS","7: Dance Songs"
"Alok","All By Myself",14,"Alok%20All%20By%20Myself%20%20","5Hp4xFihdOE2dmDzxWcBFb","0NGAZxHanS9e0iNHpR8f2W",0.662,0.848,"0",-4.338,"0",0.0346,0.0932,0.00000762,0.241,0.773,123.041,171778,"4",FALSE,79,"All By Myself","3lAmnw0gNntYuTltwETnSn","7: Dance Songs"
"Alvin & The Chipmunks","The Chipmunk Song (Christmas Don't Be Late)",17,"Alvin%20&%20The%20Chipmunks%20The%20Chipmunk%20Song%20(Christmas%20Dont%20Be%20Late)%20%20","109BxM6WqhnDDpmy6MXsiP","4kwxTgCKMipBKhSnEstNKj",0.285,0.735,"1",-11.364,"1",0.0748,0.000422,0.268,0.669,0.556,142.687,740580,"4",FALSE,30,"Spirit They're Gone, Spirit They've Vanished (Remastered 2023)","4HzQP0tw4AOAO5Ntkz8JOL","5: Live Songs"
"Aly & AJ","Chemicals React (Remix)",47,"Aly%20AJ%20Chemicals%20React%20(Remix)%20%20","7vOjTY220BqIttYDbwshED","5wugb0kaq0J6nyQ5Xgd17i",0.5,0.889,"11",-4.541,"1",0.0676,0.0014,0,0.0781,0.428,132.713,175920,"4",FALSE,45,"Insomniatic","4TOOGDpJ9KQ8EM84TC4qj6","6: Energy Pop"
"Aly & AJ","Greatest Time of Year",223,"Aly%20AJ%20Greatest%20Time%20of%20Year%20%20","7yrqJUfnjteV1FLe9dXcVa","5wugb0kaq0J6nyQ5Xgd17i",0.517,0.828,"5",-5.076,"1",0.0436,0.000199,0,0.73,0.86,150.957,218493,"4",FALSE,23,"Acoustic Hearts Of Winter","4B5cO6NvbMw9c8rjBmMd6h","5: Live Songs"
"Aly & AJ","Joan of Arc on the Dance Floor",59,"Aly%20AJ%20Joan%20of%20Arc%20on%20the%20Dance%20Floor%20%20","6OtjXmAe3pGZxcrT1Cx2Br","5wugb0kaq0J6nyQ5Xgd17i",0.649,0.807,"9",-6.482,"0",0.035,0.00277,0.0000453,0.0432,0.464,119.995,206867,"4",FALSE,48,"We Don’t Stop","21mYdkYstr4I2gyzoV4nES","8: Anthem Songs"
"Aly & AJ","Like Whoa",38,"Aly%20AJ%20Like%20Whoa%20%20","44e84JcEUfOs9cNGu8nwU5","5wugb0kaq0J6nyQ5Xgd17i",0.703,0.806,"8",-4.974,"0",0.0555,0.00935,0.00056,0.0948,0.844,120.996,150827,"4",FALSE,54,"Insomniatic","4TOOGDpJ9KQ8EM84TC4qj6","7: Dance Songs"
"Aly & AJ","Potential Breakup Song",202,"Aly%20AJ%20Potential%20Breakup%20Song%20%20","11dxtPJKR4E0wlSr0A0t47","5wugb0kaq0J6nyQ5Xgd17i",0.572,0.89,"6",-4.139,"0",0.039,0.00082,0.00937,0.564,0.765,158.038,219773,"4",FALSE,67,"Insomniatic","4TOOGDpJ9KQ8EM84TC4qj6","5: Live Songs"
"Aly & AJ","Star Maps",79,"Aly%20AJ%20Star%20Maps%20%20","4CzRGoSYAsKk6gbZqYdwB9","5wugb0kaq0J6nyQ5Xgd17i",0.681,0.708,"0",-6.751,"1",0.0391,0.00664,0.00000457,0.117,0.519,118.989,182067,"4",FALSE,34,"We Don’t Stop","21mYdkYstr4I2gyzoV4nES","8: Anthem Songs"
"Andrea Bocelli","The Prayer",11,"Andrea%20Bocelli%20The%20Prayer%20%20","6zlY4xmlgqvn4LxjzoS2mz","4S9EykWXhStSc15wEx8QFK",0.186,0.321,"10",-8.513,"1",0.0338,0.821,0.00000359,0.115,0.0505,81.915,268933,"5",FALSE,64,"These are Special Times","5k27z7TrQn2O0mKMoiwHzN","2. ""The Feels"""
"Andy Williams","Happy Holiday / the Holiday Season",43,"Andy%20Williams%20Happy%20Holiday%20/%20the%20Holiday%20Season%20%20","3sDdyBHQ60Cs1opmIyRvhp","4sj6D0zlMOl25nprDJBiU9",0.505,0.451,"9",-10.193,"0",0.0329,0.727,0,0.233,0.744,74.347,156867,"4",FALSE,44,"The Andy Williams Christmas Album","4dcJHxlOJwtyypL7sx1qch","4: Sad Bops"
"Andy Williams","It's the Most Wonderful Time of the Year",75,"Andy%20Williams%20Its%20the%20Most%20Wonderful%20Time%20of%20the%20Year%20%20","5hslUAKq9I9CG2bAulFkHN","4sj6D0zlMOl25nprDJBiU9",0.24,0.598,"7",-8.435,"1",0.0369,0.766,0,0.117,0.776,201.629,151933,"3",FALSE,55,"The Andy Williams Christmas Album","4dcJHxlOJwtyypL7sx1qch","6: Energy Pop"
"Angela Lansbury","Be Our Guest - From Beauty and the Beast",14,"Angela%20Lansbury%20Be%20Our%20Guest%20-%20From%20Beauty%20and%20the%20Beast%20%20","6btdYzQ8eZFBrOlUKVHuz0","0LtVJXnPR8msCJiE2DjHxy",0.517,0.421,"11",-12.822,"0",0.172,0.813,0,0.0788,0.578,121.459,224733,"4",FALSE,60,"Beauty and the Beast","3O5p9VNddbwvqWTdYKEqV5","2. ""The Feels"""
"Anna Kendrick","Cups",144,"Anna%20Kendrick%20Cups%20%20","6mH3qVIeOsnQIAho5eWwhH","6xfqnpe2HnLVUaYXs2F8YS",0.878,0.455,"0",-8.845,"1",0.077,0.0462,0.00484,0.0353,0.79,129.953,128013,"4",FALSE,64,"Ultimate Pitch Perfect (Original Motion Picture Soundtrack)","3C81mDhWllB5q56pfvik3U","7: Dance Songs"
"Annie Murphy","A Little Bit Alexis (From Schitt's Creek)",6,"Annie%20Murphy%20A%20Little%20Bit%20Alexis%20(From%20Schitts%20Creek)%20%20","35rKES1xTTAg5ruZvM81JK","1BQ7bBC8UjUtOkAmUxTx24",0.724,0.55,"11",-9.468,"0",0.0577,0.00131,0.129,0.36,0.457,125.963,206899,"4",FALSE,43,"A Little Bit Alexis (From Schitt's Creek)","1PdZt4tcOrXe8TYx8XotDx","5: Live Songs"
"Antillas","The Love - Spark & Shade Radio Edit",7,"Antillas%20The%20Love%20-%20Spark%20&%20Shade%20Radio%20Edit%20%20","6eHglVPiByEX5cRRPefO5X","32jVfYlA5WRROJEYwCa1oo",0.547,0.959,"1",-4.763,"0",0.0559,0.0107,0.133,0.431,0.0904,131.949,217500,"4",FALSE,1,"The Love","6X1g5POkgeJLOAhgVEh0nR","5: Live Songs"
"Aretha Franklin","Amazing Grace",8,"Aretha%20Franklin%20Amazing%20Grace%20%20","62aEe7mLn8wdWr0o26shwx","7nwUJBm0HE4ZxD3f5cy5ok",0.212,0.245,"8",-16.939,"1",0.0455,0.875,0.00527,0.406,0.178,88.426,648827,"3",FALSE,39,"Amazing Grace (Live at New Temple Missionary Baptist Church, Los Angeles, CA, 01/13/72)","5pIUimaQ6XePPXbMUi3te0","2. ""The Feels"""
"Aretha Franklin","Bridge Over Troubled Water",6,"Aretha%20Franklin%20Bridge%20Over%20Troubled%20Water%20%20","5YD86vWLu1YqR818b1GADO","7nwUJBm0HE4ZxD3f5cy5ok",0.501,0.302,"10",-12.529,"1",0.033,0.758,0.000267,0.0888,0.386,77.836,333933,"4",FALSE,52,"The Very Best of Aretha Franklin - The 70's","2jfJMNfHt2kIqSOyQyq7Jn","2. ""The Feels"""
"Aretha Franklin","Let It Be",9,"Aretha%20Franklin%20Let%20It%20Be%20%20","3lv9TUA15PFRHtMaPhjKKj","7nwUJBm0HE4ZxD3f5cy5ok",0.415,0.305,"4",-12.833,"1",0.031,0.337,0.000172,0.208,0.434,76.743,210133,"4",FALSE,54,"Soul Queen","3nIxtIMxYqCiD7ZDE0payb","2. ""The Feels"""
"Aretha Franklin","Respect",9,"Aretha%20Franklin%20Respect%20%20","7s25THrKz86DM225dOYwnr","7nwUJBm0HE4ZxD3f5cy5ok",0.805,0.558,"0",-5.226,"1",0.041,0.164,0.000022,0.0546,0.965,114.95,147600,"4",FALSE,78,"I Never Loved a Man the Way I Love You","5WndWfzGwCkHzAbQXVkg2V","7: Dance Songs"
"Aretha Franklin","Who's Zoomin' Who?",12,"Aretha%20Franklin%20Whos%20Zoomin%20Who?%20%20","2kDMh0Imubeo6BkV1mY7vm","7nwUJBm0HE4ZxD3f5cy5ok",0.788,0.532,"8",-10.334,"1",0.0375,0.376,0.00000163,0.0622,0.841,110.057,284507,"4",FALSE,45,"Who's Zoomin' Who? (Expanded Edition)","7x58T4Q8rIR7rY9mPen1li","7: Dance Songs"
"Ariana Grande","7 rings",5,"Ariana%20Grande%207%20rings%20%20","6ocbgoVGwYJhOv1GgI9NsF","66CXWjxzNUsdJxJ2JdwvnR",0.778,0.317,"1",-10.732,"0",0.334,0.592,0,0.0881,0.327,140.048,178627,"4",TRUE,86,"thank u, next","2fYhqwDWXjbpjaIJPEfKFw","3: ""Speak"" Pop"
"Ariana Grande","Bad Decisions",20,"Ariana%20Grande%20Bad%20Decisions%20%20","76RIfPBraSmXWC9LryUztF","66CXWjxzNUsdJxJ2JdwvnR",0.698,0.645,"4",-5.368,"0",0.0416,0.0146,0,0.269,0.788,131.948,226427,"4",TRUE,56,"Dangerous Woman","5X7x18kW3mVIvnuNeedM6b","7: Dance Songs"
"Ariana Grande","Be My Baby",19,"Ariana%20Grande%20Be%20My%20Baby%20%20","0fonaf88IEDQM309zmU80L","66CXWjxzNUsdJxJ2JdwvnR",0.622,0.586,"3",-6.241,"0",0.0356,0.0735,0.00000741,0.0803,0.434,145.08,217053,"4",FALSE,58,"My Everything (Deluxe)","6EVYTRG1drKdO8OnIQBeEj","8: Anthem Songs"
