"Artist","artist_id","genres","followers","artist_popularity","alternative rock","art pop","australian pop","canadian pop","dance pop","edm","electropop","hopebeat","house","indie pop","indie poptimism","indietronica","metropopolis","pop","pop dance","pop edm","pov: indie","rock","swedish idol pop","swedish pop","talent show","tropical","tropical house","uk pop"
"Fall Out Boy","4UXqAaa6dQYAk18Lv7PEgX","emo,modern rock,pop,pop punk,rock",10025629,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Fear of Tigers","2eMdch9qwgd4eJoU4Wgsuy","filter house,nightrun,synthwave",7703,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feenixpawl","5FvlJcXnFIm72pgQtW3Dct","australian dance,pop edm,progressive electro house,sky room",25436,50,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Felicia Barton","7BtsooSogDGtA54zLBjk3N","movie tunes",6873,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fergie","3r17AfJCCUqC9Lf0OAc73G","dance pop,pop",5454008,69,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Fickle Friends","1nhSLEYdoBHG6cJ8NDwoF1","gauze pop,indie poptimism,metropopolis",134490,42,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"Fifth Harmony","1l8Fu6IkuTP0U5QetQJ5Xt","girl group,pop,talent show",15708185,69,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Five for Fighting","7FgMLbnZVrEnir95O0YujA","neo mellow,piano rock,pop rock",817198,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Fleur East","37mtx80nMDETlbsq2eFCzc","talent show,uk pop",208615,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Flo Rida","0jnsk9HBra6NMjO2oANoPY","dance pop,miami hip hop,pop,pop rap",8857024,79,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
