"Artist","Track","cluster","total_track_streams"
"Lady Gaga","Telephone","7: Dance Songs",104
"Ryn Weaver","Reasons Not To Die - Demo","2: ""The Feels""",104
"Lope & Kantola","Words Can't Say","1: Instrumental Songs",103
"Seeb","Sleepwalk","6: Energy Pop",103
"The Spacies","The One That Got Away - Pilton Remix","4: Sad Bops",103
"The Strike","Nothing New","8: Anthem Songs",103
"Carly Rae Jepsen","I Really Like You - Blasterjaxx Remix","8: Anthem Songs",102
"Frank Sinatra","My Way","4: Sad Bops",102
"Gareth Emery","Saving Light (feat. Haliene)","8: Anthem Songs",102
"Kelly Clarkson","happier Than Ever","4: Sad Bops",102
"Britney Spears","Work Bitch","7: Dance Songs",101
"Carly Rae Jepsen","Curiosity","7: Dance Songs",101
"Lost Kings","Stuck (feat. Tove Styrke) - Kuur x Kbubs x DCB Remix","8: Anthem Songs",101
"Carly Rae Jepsen","Love Again - Bonus Track","7: Dance Songs",100
"Mako","I Won't Let You Walk Away - Radio Edit","8: Anthem Songs",100
"Samantha Jade","What You've Done to Me","8: Anthem Songs",100
"Vanessa Carlton","A Thousand Miles","8: Anthem Songs",100
"Zara Larsson","All the Time","8: Anthem Songs",100
"Rat City","Naked (With My Headphones On) - ZIDA Remix","8: Anthem Songs",99
"Sia","The Greatest","3: ""Speak"" Pop",99
"Stefania","Last Dance","6: Energy Pop",99
"Celine Dion","Ashes","4: Sad Bops",98
"Fall Out Boy","Uma Thurman","6: Energy Pop",98
"Taylor Swift","Getaway Car","6: Energy Pop",98
"Ben Platt","You Will Be Found","4: Sad Bops",97
"Carly Rae Jepsen","Too Much","6: Energy Pop",97
"Hannah Montana","Nobody's Perfect","5: Live Songs",97
"Kim Wilde","You Keep Me Hangin On","7: Dance Songs",97
"Gryffin","Need Your Love (with Noah Kahan)","8: Anthem Songs",96
"Seeb","Under Your Skin","5: Live Songs",96
"The 1975","Me & You Together Song","8: Anthem Songs",96
"Avril Lavigne","Bois Lie (feat. Machine Gun Kelly)","6: Energy Pop",95
"Ellie Goulding","Something in the Way You Move","8: Anthem Songs",95
"Lady Gaga","Enigma","5: Live Songs",95
"Lady Gaga","Mary Jane Holland","3: ""Speak"" Pop",95
"Katy Perry","Never Really Over","8: Anthem Songs",93
"Sheppard","Geronimo","7: Dance Songs",93
"Donny Osmond","I'll Make a Man Out of You - From Mulan/Soundtrack","2: ""The Feels""",92
"STANDERWICK","All Of Us - Radio Edit","6: Energy Pop",92
"The Chainsmokers","Paris - FKYA Remix","8: Anthem Songs",92
"Jimmy Eat World","The Middle","7: Dance Songs",91
"Kelly Clarkson","Someone","4: Sad Bops",91
"The Weeknd","Less Than Zero","6: Energy Pop",91
"Christina Aguilera","Fighter","3: ""Speak"" Pop",90
"Gareth Emery","Love You For All Time","6: Energy Pop",90
"Taylor Swift","22","7: Dance Songs",90
"The Chainsmokers","High","8: Anthem Songs",90
"Zara Larsson","I Would Like","8: Anthem Songs",90
"Fall Out Boy","Thnks fr th Mmrs","6: Energy Pop",89
"Little Mix","Touch","5: Live Songs",89
"Sarah Reeves","Right Where You Want Me","8: Anthem Songs",89
"Steerner","Rush","8: Anthem Songs",89
"Agnes","Release Me","7: Dance Songs",88
"Ava Max","Torn","7: Dance Songs",88
"Ellie Goulding","Holding on for Life","8: Anthem Songs",88
"Fickle Friends","Glue","7: Dance Songs",88
"Kelly Clarkson","Tightrope - Tour Version","4: Sad Bops",88
"Marshmello","Happier","7: Dance Songs",87
"Terror Jr","Do or Die","7: Dance Songs",87
"Camp Kubrick","Whatchu Do","6: Energy Pop",86
"Coldplay","Hymn for the Weekend","8: Anthem Songs",86
"Delta Goodrem","The Speed of Life","6: Energy Pop",86
"Ellie Goulding","Lights","7: Dance Songs",86
"Coy","Promises","5: Live Songs",85
"DRYM","Smile - Amir Hussain Remix","4: Sad Bops",85
"Hayley Kiyoko","Curious","5: Live Songs",85
"Taylor Swift","Cruel Summer","6: Energy Pop",85
"Florrie","I Took A Little Something - Version","8: Anthem Songs",84
"Lady Gaga","Heavy Metal Lover","7: Dance Songs",84
"The Go-Go's","Vacation","6: Energy Pop",84
"Ariana Grande","Last Christmas","6: Energy Pop",83
"Avicii","Without You (feat. Sandro Cavazza)","8: Anthem Songs",83
"Britney Spears","Oops!...I Did It Again","7: Dance Songs",83
"Carly Rae Jepsen","All That","4: Sad Bops",83
"Charli XCX","Backseat (feat. Carly Rae Jepsen)","5: Live Songs",83
"David Guetta","Let's Love","5: Live Songs",83
"Daya","Sit Still Look Pretty","3: ""Speak"" Pop",83
"Gryffin","Body Back (feat. Maia Wright)","8: Anthem Songs",83
"Gryffin","Remember (with ZOHARA)","8: Anthem Songs",83
"Kelly Clarkson","Second Wind","6: Energy Pop",83
"The Hunna","Never Enough","8: Anthem Songs",83
"Dagny","Bye Bye Baby","8: Anthem Songs",82
"Kelly Clarkson","Winter Dreams (Brandon's Song)","8: Anthem Songs",82
"Jimmy Buffett","Margaritaville","2: ""The Feels""",81
"Kelly Clarkson","Because of You","8: Anthem Songs",81
"Lady Gaga","911 - Charli XCX & A. G. Cook Remix","5: Live Songs",81
"Lady Gaga","Scheibe","7: Dance Songs",81
"Leadley","Chic","7: Dance Songs",81
"Mannheim Steamroller","Deck The Halls","8: Anthem Songs",81
"NOTD","Been There Done That (feat. Tove Styrke)","3: ""Speak"" Pop",81
"The Spacies","Dance Your Way Out","6: Energy Pop",81
"Elle Fanning","Wildflowers","8: Anthem Songs",80
"Joel Hirsch","The Way I See You","8: Anthem Songs",80
"Kelly Clarkson","My Favorite Things","6: Energy Pop",80
"Kim Petras","Future Starts Now","8: Anthem Songs",80
"Red One","Don't You Need Somebody (feat. Enrique Iglesias R. City Serayah & Shaggy)","7: Dance Songs",80
"Selena Gomez","Back to You","8: Anthem Songs",80
"The Killers","Somebody Told Me","6: Energy Pop",80
"The Weather Girls","It's Raining Men","5: Live Songs",80
"Avril Lavigne","Bite Me","6: Energy Pop",79
"Bebe Rexha","I'm a Mess","8: Anthem Songs",79
"Lady Gaga","A-YO","7: Dance Songs",79
"Shane & Shane","In Christ Alone","1: Instrumental Songs",79
"Armin van Buuren","Alone","8: Anthem Songs",78
"Christina Aguilera","Genie in a Bottle","3: ""Speak"" Pop",78
"Five for Fighting","100 Years","4: Sad Bops",78
"Flume","Say It (feat. Tove Lo)","8: Anthem Songs",78
"Kim Petras","Coconuts","7: Dance Songs",78
"Sia","California Dreamin'","4: Sad Bops",78
"Adele","When We Were Young","4: Sad Bops",77
"Aly & AJ","Star Maps","7: Dance Songs",77
"Nicki Minaj","The Night Is Still Young","7: Dance Songs",77
"3OH!3","Don't Trust Me","7: Dance Songs",76
"Ariana Grande","Santa Tell Me","6: Energy Pop",76
"Carly Rae Jepsen","LA Hallucinations","7: Dance Songs",76
"Carly Rae Jepsen","Part of Your World","2: ""The Feels""",76
"Kelly Clarkson","Christmas Eve","5: Live Songs",76
"Kim Petras","Turn Off The Light","5: Live Songs",76
"Loote","Longer Than I Thought","5: Live Songs",76
"Matisse & Sadko","Now or Never","7: Dance Songs",76
"Molly Sanden","Youniverse","8: Anthem Songs",76
"Simple Plan","What's New Scooby-Doo?","6: Energy Pop",76
"twenty one pilots","Ride","8: Anthem Songs",76
"Britt Nicole","Gold","7: Dance Songs",75
"Candace","Busted","3: ""Speak"" Pop",75
"Dua Lipa","Cool","7: Dance Songs",75
"Fickle Friends","Swim","8: Anthem Songs",75
"hallman","I'm Going Like","1: Instrumental Songs",75
"Keith Urban","The Fighter","7: Dance Songs",75
"Lady Gaga","Boys Boys Boys","7: Dance Songs",75
"Lindana","I'm Lindana and I Wanna Have Fun","7: Dance Songs",75
"Malia J","Smells Like Teen Spirit","4: Sad Bops",75
"P!nk","So What","8: Anthem Songs",75
"Allie X","Girl of the Year","8: Anthem Songs",74
"Gryffin","Just For A Moment (feat. Iselin)","6: Energy Pop",74
"Katy Perry","Last Friday Night (T.G.I.F.)","5: Live Songs",74
"Loote","Out of My Head","7: Dance Songs",74
"Axwell /\ Ingrosso","More Than You Know","5: Live Songs",73
"Britt Nicole","Walk On The Water","6: Energy Pop",73
"Ella Henderson","Ghost","8: Anthem Songs",73
"Jose Feliciano","Feliz Navidad","7: Dance Songs",73
"Kygo","It Ain't Me (with Selena Gomez)","7: Dance Songs",73
"Kylie Minogue","Into the Blue","1: Instrumental Songs",73
"Molly Sanden","Va det da?","8: Anthem Songs",73
"Ryn Weaver","Traveling Song","2: ""The Feels""",73
