"monthyear","cluster","streams","percent","index"
Sep 2019,"4: Sad Bops",57,0.0588235294117647,66.4527629233512
Oct 2019,"4: Sad Bops",117,0.0823943661971831,93.0806658130602
Nov 2019,"4: Sad Bops",82,0.0632228218966847,71.4226303123759
Dec 2019,"4: Sad Bops",86,0.0562091503267974,63.4993067934244
Jan 2020,"4: Sad Bops",94,0.0586400499064255,66.2454866821679
Feb 2020,"4: Sad Bops",41,0.0345699831365936,39.0536051918851
Mar 2020,"4: Sad Bops",32,0.0197044334975369,22.260038811763
Apr 2020,"4: Sad Bops",35,0.0324074074074074,36.6105499438833
May 2020,"4: Sad Bops",15,0.00929368029739777,10.4990424693027
Jun 2020,"4: Sad Bops",47,0.0296343001261034,33.4777790515495
Jul 2020,"4: Sad Bops",58,0.045136186770428,50.990213418229
Aug 2020,"4: Sad Bops",41,0.0336341263330599,37.9963705968628
Sep 2020,"4: Sad Bops",69,0.0446601941747573,50.4524860253016
Oct 2020,"4: Sad Bops",71,0.0509691313711414,57.5796732580652
Nov 2020,"4: Sad Bops",37,0.030327868852459,34.2613015399901
Dec 2020,"4: Sad Bops",57,0.0446009389671361,50.3855455968132
Jan 2021,"4: Sad Bops",57,0.0424422933730454,47.9469302105192
Feb 2021,"4: Sad Bops",10,0.00991080277502478,11.1962038622098
Mar 2021,"4: Sad Bops",126,0.0846205507051713,95.5955797057208
Apr 2021,"4: Sad Bops",68,0.0492396813902969,55.6259188554627
May 2021,"4: Sad Bops",88,0.0634005763688761,71.6234390009606
Jun 2021,"4: Sad Bops",82,0.0451790633608815,51.0386509725353
Jul 2021,"4: Sad Bops",69,0.06,67.7818181818182
Aug 2021,"4: Sad Bops",40,0.0352422907488987,39.8131090642104
Sep 2021,"4: Sad Bops",96,0.0821214713430282,92.7723773232755
Oct 2021,"4: Sad Bops",105,0.0817120622568093,92.3098691192076
Nov 2021,"4: Sad Bops",129,0.0781818181818182,88.3217630853994
Dec 2021,"4: Sad Bops",71,0.0385450597176982,43.5442371598723
Jan 2022,"4: Sad Bops",44,0.0346456692913386,39.1391076115486
Feb 2022,"4: Sad Bops",25,0.0208681135225376,23.574644609703
Mar 2022,"4: Sad Bops",36,0.0228281547241598,25.7888972156569
Apr 2022,"4: Sad Bops",31,0.0185295875672445,20.9328189244507
May 2022,"4: Sad Bops",109,0.0659407138535995,74.4930246200664
Jun 2022,"4: Sad Bops",56,0.0341255332114564,38.5515114582756
Jul 2022,"4: Sad Bops",57,0.0321670428893905,36.3390108762569
Oct 2015,"5: Live Songs",93,0.0602721970187946,53.49875011573
Nov 2015,"5: Live Songs",107,0.0640718562874251,56.8714000570288
Dec 2015,"5: Live Songs",42,0.0668789808917197,59.3630573248408
Jan 2016,"5: Live Songs",44,0.0526315789473684,46.7167919799499
Feb 2016,"5: Live Songs",34,0.0731182795698925,64.9011776753712
Mar 2016,"5: Live Songs",55,0.0768156424581006,68.1830274009045
Apr 2016,"5: Live Songs",111,0.0936708860759494,83.1440626883665
May 2016,"5: Live Songs",142,0.0792410714285714,70.3358843537415
Jun 2016,"5: Live Songs",32,0.0366552119129439,32.5358642884416
Jul 2016,"5: Live Songs",54,0.0897009966777409,79.6203132415757
Aug 2016,"5: Live Songs",106,0.110072689511942,97.7026158334569
Sep 2016,"5: Live Songs",173,0.1384,122.846476190476
Oct 2016,"5: Live Songs",139,0.110933758978452,98.4669174932543
Nov 2016,"5: Live Songs",84,0.0851063829787234,75.5420466058764
Dec 2016,"5: Live Songs",159,0.105367793240557,93.5264602859036
Mar 2017,"5: Live Songs",171,0.100944510035419,89.6002698600101
Apr 2017,"5: Live Songs",155,0.0901162790697674,79.9889258028793
May 2017,"5: Live Songs",311,0.195967233774417,173.944249407387
Jun 2017,"5: Live Songs",154,0.121931908155186,108.229084191079
Jul 2017,"5: Live Songs",129,0.128358208955224,113.933191186923
Aug 2017,"5: Live Songs",91,0.146067415730337,129.652220438737
Sep 2017,"5: Live Songs",93,0.12015503875969,106.651901070506
Oct 2017,"5: Live Songs",97,0.110983981693364,98.5114961316334
Nov 2017,"5: Live Songs",214,0.149232914923291,132.461977817626
Dec 2017,"5: Live Songs",207,0.131178707224335,116.436719174362
Jan 2018,"5: Live Songs",350,0.141643059490085,125.725077566437
Feb 2018,"5: Live Songs",271,0.118082788671024,104.812532420376
Mar 2018,"5: Live Songs",298,0.107271418286537,95.2161541362405
Apr 2018,"5: Live Songs",196,0.0803608036080361,71.3297799644663
May 2018,"5: Live Songs",277,0.122349823321555,108.600033653037
Jun 2018,"5: Live Songs",254,0.107627118644068,95.5318805488297
Jul 2018,"5: Live Songs",425,0.181546347714652,161.143996257196
Aug 2018,"5: Live Songs",238,0.0962004850444624,85.3893829156562
Sep 2018,"5: Live Songs",217,0.0947598253275109,84.1106259097525
Oct 2018,"5: Live Songs",193,0.0896423594983744,79.5682657642713
Nov 2018,"5: Live Songs",108,0.05625,49.9285714285714
Dec 2018,"5: Live Songs",172,0.0835356969402623,74.147875760309
Jan 2019,"5: Live Songs",108,0.0686586141131596,60.9426936699664
Feb 2019,"5: Live Songs",95,0.0583179864947821,51.7641556315589
Mar 2019,"5: Live Songs",124,0.0752427184466019,66.786870087841
Apr 2019,"5: Live Songs",113,0.0619517543859649,54.9895572263993
May 2019,"5: Live Songs",91,0.0529994175888177,47.0432925645506
Jun 2019,"5: Live Songs",66,0.0441767068273092,39.2120864410021
Jul 2019,"5: Live Songs",79,0.0545580110497238,48.4267298079453
Aug 2019,"5: Live Songs",56,0.0523364485981308,46.4548286604361
Sep 2019,"5: Live Songs",68,0.0701754385964912,62.2890559732665
Oct 2019,"5: Live Songs",76,0.0535211267605634,47.5063715627096
Nov 2019,"5: Live Songs",123,0.094834232845027,84.1766714395859
Dec 2019,"5: Live Songs",133,0.0869281045751634,77.1590413943355
Jan 2020,"5: Live Songs",77,0.0480349344978166,42.6367228113953
Feb 2020,"5: Live Songs",80,0.0674536256323777,59.8731229422629
Mar 2020,"5: Live Songs",138,0.0849753694581281,75.4257565095003
Apr 2020,"5: Live Songs",131,0.121296296296296,107.664902998236
May 2020,"5: Live Songs",317,0.19640644361834,174.334100430755
Jun 2020,"5: Live Songs",202,0.127364438839849,113.051101903561
Jul 2020,"5: Live Songs",151,0.117509727626459,104.303872521771
Aug 2020,"5: Live Songs",89,0.0730106644790812,64.8056564709559
Sep 2020,"5: Live Songs",149,0.0964401294498382,85.602095854523
Oct 2020,"5: Live Songs",116,0.0832735104091888,73.915154001299
Nov 2020,"5: Live Songs",84,0.0688524590163934,61.1147540983607
Dec 2020,"5: Live Songs",108,0.0845070422535211,75.010060362173
